 ,X,Y,Length
1,472,808,3.030
2,472,806,4.285
3,470,804,3.030
4,468,804,3.030
5,468,802,3.030
6,466,802,4.285
7,464,800,3.030
8,464,798,3.030
9,462,798,3.030
10,462,796,3.030
11,460,796,3.030
12,460,794,3.030
13,458,794,3.030
14,458,792,4.285
15,456,790,4.285
16,454,788,3.030
17,452,788,3.030
18,452,786,4.285
19,450,784,4.285
20,448,782,3.030
21,448,780,3.030
22,446,780,3.030
23,446,778,4.285
24,444,776,3.030
25,444,774,3.030
26,442,774,4.285
27,440,772,3.030
28,440,770,3.030
29,438,770,3.030
30,438,768,4.285
31,436,766,4.285
32,434,764,3.030
33,434,762,3.030
34,432,762,3.030
35,432,760,4.285
36,430,758,3.030
37,430,756,4.285
38,428,754,3.030
39,428,752,3.030
40,426,752,3.030
41,424,752,3.030
42,424,750,4.285
43,422,748,4.285
44,420,746,4.285
45,418,744,3.030
46,418,742,3.030
47,416,742,3.030
48,416,740,3.030
49,416,738,3.030
50,414,738,3.030
51,414,736,4.285
52,412,734,3.030
53,412,732,4.285
54,410,730,3.030
55,410,728,3.030
56,408,728,3.030
57,408,726,3.030
58,408,724,3.030
59,406,724,3.030
60,406,722,3.030
61,406,720,3.030
62,406,718,3.030
63,404,718,3.030
64,404,716,3.030
65,404,714,3.030
66,402,714,3.030
67,402,712,3.030
68,402,710,4.285
69,400,708,3.030
70,400,706,4.285
71,398,704,3.030
72,398,702,4.285
73,396,700,3.030
74,396,698,4.285
75,394,696,3.030
76,394,694,3.030
77,392,694,3.030
78,392,692,3.030
79,392,690,3.030
80,392,688,3.030
81,390,688,3.030
82,390,686,3.030
83,390,684,4.285
84,388,682,3.030
85,388,680,4.285
86,386,678,3.030
87,386,676,4.285
88,384,674,3.030
89,384,672,3.030
90,382,672,3.030
91,382,670,4.285
92,380,668,4.285
93,378,666,3.030
94,378,664,3.030
95,376,664,3.030
96,376,662,3.030
97,374,662,3.030
98,374,660,3.030
99,374,658,3.030
100,372,658,3.030
101,372,656,4.285
102,370,654,3.030
103,370,652,3.030
104,368,652,3.030
105,368,650,3.030
106,368,648,3.030
107,366,648,3.030
108,366,646,3.030
109,366,644,3.030
110,364,644,3.030
111,364,642,3.030
112,364,640,3.030
113,362,640,3.030
114,362,638,3.030
115,362,636,3.030
116,360,636,3.030
117,360,634,3.030
118,360,632,3.030
119,360,630,3.030
120,358,630,3.030
121,358,628,3.030
122,358,626,3.030
123,356,626,3.030
124,356,624,3.030
125,356,622,3.030
126,354,622,4.285
127,352,620,3.030
128,352,618,3.030
129,350,618,3.030
130,350,616,3.030
131,350,614,3.030
132,348,614,3.030
133,348,612,3.030
134,346,612,4.285
135,344,610,3.030
136,342,610,3.030
137,340,610,4.285
138,338,608,6.061
139,334,608,4.285
140,332,606,4.285
141,330,604,4.285
142,328,602,4.285
143,326,600,3.030
144,324,600,4.285
145,322,598,3.030
146,322,596,4.285
147,320,594,3.030
148,318,594,3.030
149,318,592,3.030
150,316,592,3.030
151,316,590,4.285
152,314,588,4.285
153,312,586,3.030
154,310,586,3.030
155,310,584,4.285
156,308,582,3.030
157,306,582,4.285
158,304,580,3.030
159,302,580,3.030
160,302,578,3.030
161,300,578,4.285
162,298,576,4.285
163,296,574,4.285
164,294,572,3.030
165,292,572,3.030
166,292,570,3.030
167,290,570,3.030
168,290,568,3.030
169,288,568,3.030
170,288,566,3.030
171,286,566,3.030
172,286,564,4.285
173,284,562,3.030
174,282,562,3.030
175,282,560,4.285
176,280,558,3.030
177,280,556,3.030
178,278,556,3.030
179,278,554,4.285
180,276,552,3.030
181,276,550,4.285
182,274,548,3.030
183,274,546,3.030
184,274,544,3.030
185,272,544,3.030
186,272,542,3.030
187,272,540,3.030
188,272,538,4.285
189,270,536,3.030
190,270,534,4.285
191,268,532,3.030
192,268,530,3.030
193,268,528,3.030
194,268,526,4.285
195,266,524,3.030
196,266,522,4.285
197,264,520,3.030
198,264,518,3.030
199,264,516,3.030
200,264,514,3.030
201,262,514,3.030
202,262,512,3.030
203,262,510,4.285
204,260,508,3.030
205,260,506,3.030
206,260,504,4.285
207,258,502,3.030
208,258,500,3.030
209,258,498,4.285
210,256,496,3.030
211,256,494,3.030
212,256,492,3.030
213,256,490,3.030
214,256,488,3.030
215,256,486,3.030
216,256,484,3.030
217,254,484,3.030
218,254,482,3.030
219,254,480,3.030
220,254,478,3.030
221,254,476,3.030
222,254,474,4.285
223,252,472,3.030
224,252,470,3.030
225,252,468,3.030
226,252,466,3.030
227,252,464,3.030
228,252,462,3.030
229,252,460,3.030
230,252,458,3.030
231,252,456,3.030
232,252,454,3.030
233,252,452,3.030
234,252,450,3.030
235,252,448,3.030
236,252,446,3.030
237,252,444,3.030
238,252,442,3.030
239,252,440,3.030
240,252,438,3.030
241,252,436,3.030
242,252,434,3.030
243,252,432,3.030
244,254,432,3.030
245,254,430,3.030
246,254,428,3.030
247,254,426,3.030
248,254,424,3.030
249,254,422,3.030
250,254,420,3.030
251,254,418,3.030
252,254,416,4.285
253,256,414,3.030
254,256,412,3.030
255,256,410,3.030
256,256,408,3.030
257,256,406,3.030
258,258,406,3.030
259,258,404,3.030
260,258,402,3.030
261,258,400,4.285
262,260,398,3.030
263,260,396,3.030
264,260,394,4.285
265,262,392,3.030
266,262,390,3.030
267,262,388,3.030
268,262,386,3.030
269,264,386,3.030
270,264,384,6.776
271,266,380,3.030
272,266,378,4.285
273,268,376,3.030
274,268,374,3.030
275,268,372,4.285
276,270,370,3.030
277,270,368,4.285
278,272,366,3.030
279,272,364,4.285
280,274,362,4.285
281,276,360,3.030
282,276,358,3.030
283,278,358,3.030
284,278,356,3.030
285,278,354,3.030
286,280,354,3.030
287,280,352,4.285
288,282,350,3.030
289,282,348,3.030
290,282,346,4.285
291,284,344,3.030
292,284,342,3.030
293,286,342,3.030
294,286,340,3.030
295,286,338,3.030
296,286,336,3.030
297,288,336,3.030
298,288,334,3.030
299,290,334,3.030
300,290,332,4.285
301,292,330,4.285
302,294,328,3.030
303,294,326,3.030
304,296,326,4.285
305,298,324,3.030
306,298,322,4.285
307,300,320,3.030
308,300,318,3.030
309,302,318,4.285
310,304,316,3.030
311,304,314,4.285
312,306,312,4.285
313,308,310,4.285
314,310,308,4.285
315,312,306,3.030
316,312,304,3.030
317,314,304,3.030
318,314,302,4.285
319,316,300,3.030
320,318,300,3.030
321,318,298,3.030
322,318,296,3.030
323,320,296,4.285
324,322,294,3.030
325,322,292,3.030
326,324,292,3.030
327,324,290,4.285
328,326,288,4.285
329,328,286,4.285
330,330,284,3.030
331,332,284,4.285
332,334,282,4.285
333,336,280,4.285
334,338,278,3.030
335,340,278,3.030
336,340,276,3.030
337,342,276,3.030
338,342,274,3.030
339,344,274,3.030
340,346,274,4.285
341,348,272,4.285
342,350,270,3.030
343,352,270,4.285
344,354,268,3.030
345,356,268,3.030
346,356,266,3.030
347,358,266,3.030
348,358,264,3.030
349,360,264,3.030
350,362,264,3.030
351,362,262,3.030
352,364,262,3.030
353,364,260,3.030
354,366,260,3.030
355,368,260,3.030
356,368,258,3.030
357,370,258,3.030
358,370,256,3.030
359,372,256,4.285
360,374,254,3.030
361,376,254,4.285
362,378,252,3.030
363,380,252,3.030
364,380,250,3.030
365,382,250,3.030
366,384,250,3.030
367,384,248,3.030
368,386,248,3.030
369,388,248,3.030
370,388,246,3.030
371,390,246,3.030
372,392,246,3.030
373,392,244,3.030
374,394,244,3.030
375,396,244,3.030
376,398,244,3.030
377,398,242,3.030
378,400,242,3.030
379,402,242,4.285
380,404,240,3.030
381,406,240,3.030
382,408,240,3.030
383,410,240,3.030
384,410,238,3.030
385,412,238,3.030
386,414,238,3.030
387,416,238,4.285
388,418,236,3.030
389,420,236,3.030
390,422,236,4.285
391,424,234,3.030
392,426,234,3.030
393,428,234,3.030
394,430,234,4.285
395,432,232,3.030
396,434,232,3.030
397,436,232,4.285
398,438,230,3.030
399,440,230,3.030
400,442,230,4.285
401,444,228,3.030
402,446,228,3.030
403,448,228,3.030
404,450,228,3.030
405,452,228,4.285
406,454,226,3.030
407,456,226,3.030
408,458,226,3.030
409,460,226,3.030
410,462,226,3.030
411,464,226,3.030
412,466,226,6.776
413,470,224,3.030
414,472,224,3.030
415,474,224,3.030
416,476,224,3.030
417,478,224,3.030
418,480,224,3.030
419,482,224,3.030
420,484,224,4.285
421,486,222,3.030
422,488,222,3.030
423,490,222,3.030
424,492,222,3.030
425,494,222,3.030
426,496,222,3.030
427,498,222,3.030
428,500,222,3.030
429,502,222,3.030
430,504,222,3.030
431,506,222,3.030
432,508,222,3.030
433,510,222,3.030
434,512,222,3.030
435,514,222,3.030
436,516,222,3.030
437,518,222,3.030
438,520,222,3.030
439,522,222,3.030
440,524,222,3.030
441,526,222,3.030
442,528,222,3.030
443,530,222,4.285
444,532,220,3.030
445,534,220,3.030
446,536,220,3.030
447,538,220,3.030
448,540,220,3.030
449,542,220,3.030
450,544,220,3.030
451,546,220,3.030
452,548,220,3.030
453,550,220,3.030
454,552,220,3.030
455,554,220,4.285
456,556,222,3.030
457,558,222,3.030
458,560,222,3.030
459,560,224,3.030
460,562,224,3.030
461,564,224,3.030
462,566,224,4.285
463,568,226,3.030
464,570,226,3.030
465,572,226,4.285
466,574,228,3.030
467,576,228,6.061
468,580,228,4.285
469,582,230,3.030
470,584,230,4.285
471,586,232,3.030
472,588,232,4.285
473,590,234,3.030
474,592,234,4.285
475,594,236,3.030
476,596,236,3.030
477,596,238,3.030
478,598,238,4.285
479,600,240,3.030
480,602,240,3.030
481,604,240,3.030
482,606,240,4.285
483,608,242,3.030
484,610,242,3.030
485,610,244,3.030
486,612,244,3.030
487,612,246,3.030
488,614,246,3.030
489,616,246,4.285
490,618,248,4.285
491,620,250,3.030
492,622,250,3.030
493,622,252,3.030
494,624,252,3.030
495,626,252,3.030
496,626,254,3.030
497,628,254,3.030
498,630,254,3.030
499,630,256,3.030
500,632,256,3.030
501,634,256,3.030
502,634,258,3.030
503,636,258,3.030
504,638,258,4.285
505,640,260,4.285
506,642,262,3.030
507,644,262,4.285
508,646,264,3.030
509,648,264,4.285
510,650,266,3.030
511,652,266,3.030
512,652,268,3.030
513,654,268,3.030
514,656,268,3.030
515,656,270,3.030
516,658,270,4.285
