 ,Position,Intensity
1,0.000,10.971
2,1.515,11.372
3,3.030,11.531
4,4.545,11.599
5,6.061,11.945
6,7.576,12.067
7,9.091,12.193
8,10.606,11.568
9,12.121,11.646
10,13.636,11.254
11,15.152,11.668
12,16.667,11.685
13,18.182,11.354
14,19.697,11.264
15,21.212,10.420
16,22.727,10.161
17,24.242,10.393
18,25.758,9.724
19,27.273,9.518
20,28.788,9.927
21,30.303,9.793
22,31.818,9.541
23,33.333,9.384
24,34.848,9.354
25,36.364,9.197
26,37.879,8.827
27,39.394,8.765
28,40.909,8.888
29,42.424,8.885
30,43.939,8.707
31,45.455,8.663
32,46.970,8.985
33,48.485,8.939
34,50.000,8.993
35,51.515,9.655
36,53.030,9.247
37,54.545,9.134
38,56.061,8.792
39,57.576,9.279
40,59.091,9.232
41,60.606,9.692
42,62.121,9.444
43,63.636,9.707
44,65.152,10.143
45,66.667,9.884
46,68.182,10.818
47,69.697,11.084
48,71.212,9.873
49,72.727,10.174
50,74.242,11.520
51,75.758,10.710
52,77.273,10.758
53,78.788,11.070
54,80.303,10.708
55,81.818,11.782
56,83.333,10.921
57,84.848,10.825
58,86.364,9.746
59,87.879,9.767
60,89.394,10.170
61,90.909,9.615
62,92.424,9.707
63,93.939,10.410
64,95.455,10.222
65,96.970,9.447
66,98.485,9.337
67,100.000,10.300
68,101.515,9.298
69,103.030,9.207
70,104.545,9.326
71,106.061,9.461
72,107.576,9.519
73,109.091,9.652
74,110.606,9.635
75,112.121,9.601
76,113.636,9.945
77,115.152,10.222
78,116.667,10.280
79,118.182,10.393
80,119.697,9.907
81,121.212,9.711
82,122.727,10.307
83,124.242,9.537
84,125.758,9.680
85,127.273,9.792
86,128.788,9.826
87,130.303,9.547
88,131.818,9.597
89,133.333,9.952
90,134.848,10.070
91,136.364,9.865
92,137.879,9.573
93,139.394,9.856
94,140.909,9.777
95,142.424,9.950
96,143.939,10.310
97,145.455,9.443
98,146.970,9.901
99,148.485,9.742
100,150.000,10.384
101,151.515,10.680
102,153.030,10.298
103,154.545,10.554
104,156.061,10.667
105,157.576,10.995
106,159.091,10.733
107,160.606,11.037
108,162.121,11.227
109,163.636,11.096
110,165.152,10.654
111,166.667,10.719
112,168.182,10.682
113,169.697,10.503
114,171.212,10.912
115,172.727,10.989
116,174.242,10.850
117,175.758,10.821
118,177.273,10.741
119,178.788,10.621
