 ,X,Y,Length
319,746,414,3.030
320,746,416,3.030
321,746,418,3.030
322,746,420,3.030
323,748,420,3.030
324,748,422,3.030
325,748,424,3.030
326,748,426,3.030
327,748,428,3.030
328,748,430,3.030
329,748,432,3.030
330,748,434,3.030
331,748,436,3.030
332,748,438,3.030
333,748,440,3.030
334,748,442,3.030
335,748,444,3.030
336,748,446,3.030
337,748,448,3.030
338,748,450,3.030
339,748,452,3.030
340,748,454,3.030
341,748,456,3.030
342,748,458,3.030
343,748,460,3.030
344,748,462,4.285
345,746,464,3.030
346,746,466,3.030
347,746,468,3.030
348,746,470,3.030
349,746,472,3.030
350,746,474,3.030
351,746,476,4.285
352,744,478,3.030
353,744,480,3.030
354,744,482,3.030
355,744,484,4.285
356,742,486,3.030
357,742,488,3.030
358,742,490,4.285
359,740,492,3.030
360,740,494,3.030
361,740,496,3.030
362,740,498,3.030
363,740,500,3.030
364,738,500,3.030
365,738,502,3.030
366,738,504,3.030
367,738,506,3.030
368,736,506,3.030
369,736,508,3.030
370,736,510,3.030
371,736,512,3.030
372,736,514,3.030
373,736,516,3.030
374,736,518,3.030
375,736,520,3.030
376,736,522,3.030
377,736,524,3.030
378,736,526,4.285
379,734,528,3.030
380,734,530,3.030
381,734,532,3.030
382,734,534,3.030
383,734,536,3.030
384,734,538,3.030
385,732,538,3.030
386,732,540,3.030
387,732,542,3.030
388,732,544,3.030
389,732,546,4.285
390,730,548,3.030
391,730,550,3.030
392,730,552,3.030
393,730,554,3.030
394,728,554,3.030
395,728,556,3.030
396,728,558,3.030
397,728,560,4.285
398,726,562,3.030
399,726,564,3.030
400,726,566,3.030
401,724,566,3.030
402,724,568,3.030
403,724,570,3.030
404,724,572,4.285
405,722,574,3.030
406,722,576,3.030
407,722,578,3.030
408,720,578,3.030
409,720,580,3.030
410,720,582,4.285
411,718,584,3.030
412,718,586,3.030
413,718,588,3.030
414,718,590,3.030
415,716,590,3.030
416,716,592,4.285
417,714,594,3.030
418,714,596,3.030
419,714,598,4.285
420,712,600,3.030
421,712,602,3.030
422,710,602,3.030
423,710,604,4.285
424,708,606,3.030
425,708,608,4.285
426,706,610,3.030
427,706,612,3.030
428,704,612,3.030
