 ,Position,Intensity
1,0.000,10.082
2,1.515,9.360
3,3.030,8.943
4,4.545,8.951
5,6.061,9.094
6,7.576,8.876
7,9.091,9.211
8,10.606,9.680
9,12.121,8.742
10,13.636,8.444
11,15.152,8.655
12,16.667,9.052
13,18.182,8.695
14,19.697,8.344
15,21.212,8.378
16,22.727,8.356
17,24.242,9.358
18,25.758,8.348
19,27.273,8.434
20,28.788,7.973
21,30.303,9.048
22,31.818,8.714
23,33.333,8.084
24,34.848,8.082
25,36.364,8.146
26,37.879,8.559
27,39.394,8.052
28,40.909,8.142
29,42.424,7.950
30,43.939,7.790
31,45.455,7.996
32,46.970,7.917
33,48.485,7.825
34,50.000,8.538
35,51.515,8.431
36,53.030,7.878
37,54.545,8.260
38,56.061,8.831
39,57.576,7.984
40,59.091,8.275
41,60.606,8.768
42,62.121,7.994
43,63.636,8.305
44,65.152,8.125
45,66.667,9.219
46,68.182,7.601
47,69.697,8.583
48,71.212,8.024
49,72.727,8.082
50,74.242,8.290
51,75.758,8.309
52,77.273,8.604
53,78.788,8.339
54,80.303,8.214
55,81.818,8.378
56,83.333,9.135
57,84.848,9.520
58,86.364,10.029
59,87.879,9.749
60,89.394,9.517
61,90.909,9.757
62,92.424,9.702
63,93.939,9.738
64,95.455,9.327
65,96.970,9.662
66,98.485,9.247
67,100.000,8.856
68,101.515,9.091
69,103.030,9.700
70,104.545,9.168
71,106.061,8.843
72,107.576,8.560
73,109.091,9.561
74,110.606,8.863
75,112.121,9.131
76,113.636,8.546
77,115.152,8.454
78,116.667,8.469
79,118.182,8.324
80,119.697,9.046
81,121.212,8.610
82,122.727,9.247
83,124.242,8.805
84,125.758,7.952
85,127.273,8.118
86,128.788,8.437
87,130.303,8.468
88,131.818,8.155
89,133.333,8.636
90,134.848,8.446
91,136.364,9.109
92,137.879,9.115
93,139.394,8.196
94,140.909,8.777
95,142.424,8.951
96,143.939,10.131
97,145.455,8.059
98,146.970,8.955
99,148.485,8.532
100,150.000,9.815
