 ,X,Y,Length
1,534,252,3.030
2,534,254,4.285
3,536,256,3.030
4,536,258,4.285
5,538,260,3.030
6,538,262,3.030
7,540,262,3.030
8,540,264,3.030
9,540,266,3.030
10,542,266,3.030
11,542,268,4.285
12,544,270,4.285
13,546,272,3.030
14,546,274,3.030
15,548,274,3.030
16,548,276,3.030
17,550,276,3.030
18,550,278,3.030
19,552,278,3.030
20,552,280,3.030
21,554,280,3.030
22,554,282,3.030
23,556,282,3.030
24,556,284,3.030
25,558,284,4.285
26,560,286,4.285
27,562,288,4.285
28,564,290,3.030
29,566,290,3.030
30,566,292,3.030
31,566,294,3.030
32,568,294,3.030
33,568,296,3.030
34,570,296,3.030
35,570,298,3.030
36,572,298,3.030
37,572,300,3.030
38,574,300,3.030
39,574,302,3.030
40,576,302,3.030
41,576,304,3.030
42,578,304,3.030
43,578,306,3.030
44,580,306,3.030
45,580,308,4.285
46,582,310,4.285
47,584,312,3.030
48,586,312,3.030
49,586,314,3.030
50,588,314,3.030
51,588,316,3.030
52,590,316,3.030
53,590,318,3.030
54,592,318,4.285
55,594,320,3.030
56,596,320,3.030
57,596,322,3.030
58,598,322,3.030
59,598,324,3.030
60,600,324,3.030
61,600,326,3.030
62,602,326,3.030
63,602,328,3.030
64,604,328,3.030
65,604,330,3.030
66,606,330,3.030
67,606,332,3.030
68,608,332,3.030
69,608,334,3.030
70,610,334,3.030
71,610,336,3.030
72,612,336,3.030
73,612,338,3.030
74,614,338,3.030
75,614,340,4.285
76,616,342,3.030
77,618,342,3.030
78,618,344,3.030
79,620,344,3.030
80,620,346,4.285
81,622,348,3.030
82,624,348,3.030
83,624,350,3.030
84,626,350,3.030
85,626,352,3.030
86,628,352,4.285
87,630,354,3.030
88,632,354,3.030
89,634,354,3.030
90,634,356,3.030
91,636,356,4.285
92,638,358,3.030
93,640,358,4.285
94,642,360,3.030
95,644,360,3.030
96,644,362,3.030
97,646,362,3.030
98,648,362,4.285
99,650,364,3.030
100,652,364,3.030
101,654,364,4.285
102,656,366,3.030
103,658,366,4.285
104,660,368,3.030
105,662,368,3.030
106,664,368,4.285
107,666,370,3.030
108,668,370,4.285
109,670,372,3.030
110,672,372,3.030
111,674,372,3.030
112,674,374,3.030
113,676,374,4.285
114,678,376,3.030
115,680,376,3.030
116,682,376,3.030
117,682,378,3.030
118,684,378,3.030
119,686,378,4.285
120,688,380,3.030
121,690,380,3.030
122,690,382,3.030
123,692,382,3.030
124,694,382,4.285
125,696,384,3.030
126,698,384,3.030
127,698,386,3.030
128,700,386,3.030
129,702,386,4.285
130,704,388,4.285
131,706,390,3.030
132,708,390,3.030
133,710,390,3.030
134,710,392,3.030
135,712,392,3.030
136,712,394,3.030
137,714,394,4.285
138,716,396,4.285
139,718,398,4.285
140,720,400,3.030
141,722,400,3.030
142,722,402,3.030
143,724,402,3.030
144,724,404,3.030
145,726,404,3.030
146,728,404,3.030
147,728,406,3.030
148,730,406,3.030
149,730,408,3.030
150,732,408,3.030
151,732,410,3.030
152,734,410,3.030
153,734,412,3.030
154,736,412,3.030
155,736,414,3.030
156,738,414,3.030
157,738,416,3.030
158,740,416,3.030
159,740,418,3.030
160,742,418,4.285
161,744,420,4.285
162,746,422,3.030
163,746,424,3.030
164,748,424,3.030
165,748,426,3.030
166,748,428,3.030
167,750,428,3.030
168,750,430,3.030
169,750,432,4.285
170,752,434,3.030
171,752,436,3.030
172,752,438,3.030
173,752,440,3.030
174,754,440,3.030
175,754,442,3.030
176,754,444,3.030
177,754,446,3.030
178,754,448,3.030
179,754,450,3.030
180,754,452,3.030
181,754,454,3.030
