 ,Position,Intensity
1,0.000,13.433
2,1.515,14.067
3,3.030,13.900
4,4.545,13.367
5,6.061,13.400
6,7.576,13.467
7,9.091,13.936
8,10.606,14.455
9,12.121,13.586
10,13.636,13.456
11,15.152,13.023
12,16.667,13.541
13,18.182,13.966
14,19.697,13.548
15,21.212,13.643
16,22.727,11.896
17,24.242,12.017
18,25.758,11.930
19,27.273,12.793
20,28.788,12.590
21,30.303,12.380
22,31.818,12.041
23,33.333,11.573
24,34.848,12.021
25,36.364,12.147
26,37.879,12.388
27,39.394,12.403
28,40.909,11.406
29,42.424,11.268
30,43.939,11.144
31,45.455,11.380
32,46.970,11.426
33,48.485,11.377
34,50.000,10.866
35,51.515,11.075
36,53.030,11.493
37,54.545,11.591
38,56.061,11.374
39,57.576,11.434
40,59.091,11.128
41,60.606,10.718
42,62.121,10.927
43,63.636,10.664
44,65.152,11.341
45,66.667,11.115
46,68.182,10.954
47,69.697,10.686
48,71.212,10.426
49,72.727,10.562
50,74.242,10.626
51,75.758,10.411
52,77.273,10.705
53,78.788,11.907
54,80.303,11.929
55,81.818,11.539
56,83.333,12.335
57,84.848,14.110
58,86.364,14.099
59,87.879,13.198
60,89.394,13.005
61,90.909,14.560
62,92.424,15.006
63,93.939,14.058
64,95.455,11.860
65,96.970,10.408
66,98.485,9.977
67,100.000,9.850
68,101.515,9.638
69,103.030,9.684
70,104.545,9.756
71,106.061,9.767
72,107.576,10.073
73,109.091,10.050
74,110.606,9.950
75,112.121,9.878
76,113.636,9.755
77,115.152,8.870
78,116.667,8.449
79,118.182,8.567
80,119.697,8.572
81,121.212,8.288
82,122.727,8.484
83,124.242,8.450
84,125.758,8.545
85,127.273,8.483
86,128.788,8.634
87,130.303,8.639
88,131.818,8.773
89,133.333,8.438
90,134.848,8.506
91,136.364,8.673
92,137.879,8.895
93,139.394,8.710
94,140.909,8.639
95,142.424,8.633
96,143.939,9.163
97,145.455,9.155
98,146.970,9.328
99,148.485,9.534
100,150.000,9.790
101,151.515,10.168
102,153.030,9.955
103,154.545,9.928
104,156.061,10.268
105,157.576,10.305
106,159.091,9.938
107,160.606,9.811
108,162.121,10.023
109,163.636,10.317
110,165.152,10.590
111,166.667,10.410
112,168.182,10.590
113,169.697,10.271
114,171.212,10.534
115,172.727,10.432
116,174.242,10.208
117,175.758,10.307
118,177.273,10.184
119,178.788,10.364
120,180.303,9.855
121,181.818,10.028
122,183.333,10.078
123,184.848,9.923
124,186.364,9.848
125,187.879,10.004
126,189.394,10.797
127,190.909,10.650
128,192.424,10.785
129,193.939,9.738
130,195.455,9.903
131,196.970,10.020
132,198.485,9.968
133,200.000,10.412
134,201.515,10.339
135,203.030,10.462
136,204.545,10.375
137,206.061,10.521
138,207.576,10.474
139,209.091,10.497
140,210.606,10.592
141,212.121,10.294
142,213.636,10.266
