 ,X,Y,Length
1,716,270,3.030
2,716,272,3.030
3,716,274,3.030
4,716,276,3.030
5,716,278,3.030
6,716,280,3.030
7,716,282,4.285
8,714,284,3.030
9,714,286,3.030
10,714,288,3.030
11,714,290,3.030
12,714,292,3.030
13,714,294,3.030
14,712,294,3.030
15,712,296,3.030
16,712,298,3.030
17,712,300,3.030
18,712,302,3.030
19,712,304,3.030
20,712,306,3.030
21,712,308,3.030
22,712,310,3.030
23,712,312,3.030
24,712,314,4.285
25,710,316,3.030
26,710,318,3.030
27,710,320,3.030
28,710,322,3.030
29,710,324,3.030
30,710,326,3.030
31,710,328,3.030
32,710,330,3.030
33,710,332,3.030
34,710,334,3.030
35,710,336,3.030
36,710,338,4.285
37,708,340,3.030
38,708,342,3.030
39,708,344,3.030
40,708,346,3.030
41,708,348,3.030
42,708,350,3.030
43,708,352,3.030
44,708,354,3.030
45,708,356,3.030
46,708,358,3.030
47,708,360,3.030
48,708,362,3.030
49,708,364,4.285
50,706,366,3.030
51,706,368,3.030
52,706,370,3.030
53,706,372,4.285
54,704,374,3.030
55,704,376,3.030
56,704,378,4.285
57,702,380,3.030
58,702,382,3.030
59,702,384,3.030
60,702,386,3.030
61,702,388,3.030
62,702,390,3.030
63,700,390,3.030
64,700,392,3.030
65,700,394,3.030
66,700,396,3.030
67,700,398,3.030
68,700,400,3.030
69,698,400,3.030
70,698,402,3.030
71,698,404,3.030
72,698,406,3.030
73,698,408,4.285
74,696,410,3.030
75,696,412,4.285
76,694,414,3.030
77,694,416,3.030
78,694,418,3.030
79,694,420,4.285
80,692,422,3.030
81,692,424,3.030
82,692,426,4.285
83,690,428,3.030
84,690,430,3.030
85,690,432,3.030
86,690,434,3.030
87,690,436,3.030
88,688,436,3.030
89,688,438,3.030
90,688,440,4.285
91,686,442,3.030
92,686,444,3.030
93,686,446,3.030
94,686,448,3.030
95,686,450,4.285
96,684,452,3.030
97,684,454,3.030
98,684,456,3.030
99,682,456,3.030
100,682,458,3.030
101,682,460,4.285
102,680,462,3.030
103,680,464,4.285
104,678,466,3.030
105,678,468,4.285
106,676,470,4.285
107,674,472,3.030
108,674,474,3.030
109,674,476,3.030
110,672,476,3.030
111,672,478,3.030
112,670,478,3.030
113,670,480,4.285
114,668,482,3.030
115,668,484,3.030
116,666,484,3.030
117,666,486,4.285
118,664,488,3.030
119,664,490,3.030
120,662,490,3.030
121,662,492,3.030
122,660,492,3.030
123,660,494,4.285
124,658,496,3.030
125,658,498,3.030
126,656,498,3.030
127,656,500,3.030
128,656,502,3.030
129,654,502,3.030
130,654,504,3.030
131,652,504,3.030
132,652,506,4.285
133,650,508,4.285
134,648,510,3.030
135,648,512,3.030
136,646,512,3.030
137,646,514,3.030
138,644,514,3.030
139,644,516,4.285
140,642,518,3.030
141,642,520,3.030
142,640,520,3.030
143,640,522,4.285
144,638,524,3.030
145,636,524,3.030
146,636,526,4.285
147,634,528,3.030
148,634,530,3.030
149,632,530,3.030
150,632,532,3.030
151,630,532,3.030
152,630,534,4.285
153,628,536,4.285
154,626,538,3.030
155,624,538,3.030
156,624,540,3.030
