 ,X,Y,Length
1,612,328,3.030
2,612,330,3.030
3,612,332,3.030
4,614,332,3.030
5,614,334,3.030
6,616,334,3.030
7,616,336,3.030
8,616,338,3.030
9,616,340,3.030
10,618,340,3.030
11,618,342,3.030
12,618,344,3.030
13,620,344,3.030
14,620,346,3.030
15,620,348,3.030
16,622,348,3.030
17,622,350,3.030
18,622,352,3.030
19,622,354,3.030
20,624,354,3.030
21,624,356,3.030
22,624,358,3.030
23,626,358,3.030
24,626,360,4.285
25,628,362,3.030
26,628,364,3.030
27,628,366,4.285
28,630,368,3.030
29,630,370,4.285
30,632,372,3.030
31,632,374,3.030
32,632,376,3.030
33,632,378,3.030
34,634,378,3.030
35,634,380,3.030
36,634,382,4.285
37,636,384,3.030
38,636,386,3.030
39,636,388,3.030
40,636,390,4.285
41,638,392,3.030
42,638,394,3.030
43,638,396,4.285
44,640,398,3.030
45,640,400,3.030
46,640,402,3.030
47,640,404,3.030
48,642,404,3.030
49,642,406,3.030
50,642,408,4.285
51,644,410,3.030
52,644,412,3.030
53,644,414,3.030
54,646,414,3.030
55,646,416,3.030
56,646,418,3.030
57,646,420,3.030
58,646,422,4.285
59,648,424,3.030
60,648,426,3.030
61,648,428,4.285
62,650,430,3.030
63,650,432,3.030
64,650,434,3.030
65,650,436,3.030
66,650,438,3.030
67,652,438,3.030
68,652,440,3.030
69,652,442,3.030
70,652,444,3.030
71,652,446,3.030
72,654,446,3.030
73,654,448,3.030
74,654,450,3.030
75,654,452,3.030
76,656,452,3.030
77,656,454,3.030
78,656,456,3.030
79,656,458,3.030
80,656,460,4.285
81,658,462,3.030
82,658,464,3.030
83,658,466,3.030
84,658,468,3.030
85,658,470,3.030
86,660,470,3.030
87,660,472,3.030
88,660,474,3.030
89,660,476,3.030
90,660,478,3.030
91,660,480,3.030
92,660,482,3.030
93,660,484,3.030
94,660,486,3.030
95,660,488,3.030
96,662,488,3.030
97,662,490,3.030
98,662,492,3.030
99,662,494,3.030
100,662,496,3.030
101,662,498,3.030
102,662,500,3.030
103,664,500,3.030
104,664,502,3.030
105,664,504,3.030
106,666,504,3.030
107,666,506,3.030
108,666,508,3.030
109,666,510,3.030
110,666,512,3.030
111,666,514,3.030
112,666,516,3.030
113,666,518,3.030
114,666,520,3.030
115,666,522,3.030
116,668,522,3.030
117,668,524,3.030
118,668,526,3.030
119,668,528,3.030
120,668,530,3.030
121,668,532,3.030
122,668,534,3.030
123,668,536,3.030
124,668,538,3.030
125,668,540,3.030
126,668,542,3.030
127,668,544,4.285
128,666,546,3.030
129,666,548,3.030
130,666,550,3.030
131,666,552,4.285
132,664,554,3.030
133,664,556,4.285
134,662,558,3.030
135,662,560,3.030
136,662,562,4.285
137,660,564,3.030
138,660,566,4.285
139,658,568,3.030
140,658,570,3.030
141,658,572,3.030
142,656,572,3.030
143,656,574,3.030
144,654,574,3.030
145,654,576,3.030
146,654,578,3.030
147,652,578,3.030
148,652,580,4.285
149,650,582,4.285
150,648,584,3.030
151,648,586,3.030
152,646,586,3.030
153,646,588,4.285
154,644,590,3.030
155,644,592,4.285
156,642,594,4.285
157,640,596,4.285
158,638,598,3.030
159,638,600,3.030
160,636,600,3.030
161,636,602,4.285
162,634,604,3.030
