 ,Position,Intensity
1,0.000,11.800
2,1.515,11.400
3,3.030,11.600
4,4.545,11.200
5,6.061,11.600
6,7.576,11.167
7,9.091,11.267
8,10.606,11.733
9,12.121,11.500
10,13.636,11.700
11,15.152,11.767
12,16.667,11.767
13,18.182,11.633
14,19.697,11.800
15,21.212,12.167
16,22.727,11.633
17,24.242,10.900
18,25.758,11.533
19,27.273,11.800
20,28.788,11.500
21,30.303,11.833
22,31.818,11.700
23,33.333,11.667
24,34.848,11.700
25,36.364,11.333
26,37.879,11.400
27,39.394,11.367
28,40.909,10.633
29,42.424,10.633
30,43.939,10.767
31,45.455,10.300
32,46.970,9.733
33,48.485,10.600
34,50.000,11.033
35,51.515,11.033
36,53.030,10.867
37,54.545,11.600
38,56.061,11.300
39,57.576,10.967
40,59.091,10.700
41,60.606,11.133
42,62.121,11.100
43,63.636,10.800
44,65.152,10.833
45,66.667,10.700
46,68.182,11.200
47,69.697,11.000
48,71.212,11.067
49,72.727,11.167
50,74.242,11.233
51,75.758,11.733
52,77.273,11.200
53,78.788,10.933
54,80.303,11.133
55,81.818,10.733
56,83.333,10.833
57,84.848,11.100
58,86.364,10.933
59,87.879,10.800
60,89.394,10.600
61,90.909,10.234
62,92.424,10.135
63,93.939,9.169
64,95.455,9.408
65,96.970,9.894
66,98.485,9.998
67,100.000,9.551
68,101.515,9.782
69,103.030,9.342
70,104.545,9.557
71,106.061,9.452
72,107.576,9.074
73,109.091,9.012
74,110.606,9.304
75,112.121,9.310
76,113.636,9.258
77,115.152,9.169
78,116.667,8.622
79,118.182,7.988
80,119.697,8.278
81,121.212,8.467
82,122.727,7.965
83,124.242,7.942
84,125.758,8.190
85,127.273,8.291
86,128.788,8.204
87,130.303,8.318
88,131.818,8.263
89,133.333,8.442
90,134.848,8.398
91,136.364,8.405
92,137.879,8.181
93,139.394,7.893
94,140.909,8.169
95,142.424,8.020
96,143.939,7.920
97,145.455,7.739
98,146.970,8.105
99,148.485,8.470
100,150.000,8.441
101,151.515,7.926
102,153.030,7.705
103,154.545,7.668
104,156.061,7.655
105,157.576,7.694
106,159.091,7.860
107,160.606,7.914
108,162.121,7.977
109,163.636,7.801
110,165.152,8.170
111,166.667,7.765
112,168.182,7.662
113,169.697,7.790
114,171.212,7.842
115,172.727,7.430
116,174.242,7.537
117,175.758,7.662
118,177.273,7.662
119,178.788,7.766
120,180.303,8.022
121,181.818,8.239
122,183.333,8.136
123,184.848,8.296
124,186.364,8.146
125,187.879,7.944
126,189.394,7.771
127,190.909,8.271
128,192.424,8.189
129,193.939,7.709
130,195.455,7.684
131,196.970,7.722
132,198.485,7.863
133,200.000,8.044
134,201.515,8.184
135,203.030,8.485
136,204.545,7.795
137,206.061,7.991
138,207.576,8.003
139,209.091,7.987
140,210.606,7.893
141,212.121,8.042
142,213.636,7.975
143,215.152,7.827
144,216.667,7.940
145,218.182,7.658
146,219.697,7.754
147,221.212,8.027
148,222.727,7.977
149,224.242,7.697
150,225.758,8.026
151,227.273,8.299
152,228.788,8.299
153,230.303,8.649
154,231.818,8.448
155,233.333,8.641
156,234.848,8.761
157,236.364,8.845
158,237.879,8.891
159,239.394,8.768
160,240.909,8.683
161,242.424,8.649
162,243.939,8.722
163,245.455,8.940
164,246.970,8.994
165,248.485,8.858
166,250.000,8.781
167,251.515,8.829
168,253.030,8.889
169,254.545,9.031
170,256.061,8.556
171,257.576,8.388
172,259.091,8.435
173,260.606,8.196
174,262.121,8.282
175,263.636,8.242
176,265.152,8.415
177,266.667,8.467
178,268.182,8.451
179,269.697,8.124
180,271.212,8.062
181,272.727,8.029
182,274.242,7.910
183,275.758,7.909
184,277.273,7.885
185,278.788,7.899
186,280.303,8.159
187,281.818,8.171
188,283.333,8.455
189,284.848,7.971
190,286.364,8.862
191,287.879,8.195
192,289.394,8.618
193,290.909,7.894
194,292.424,8.279
195,293.939,8.463
196,295.455,8.373
197,296.970,8.209
198,298.485,8.224
199,300.000,8.225
200,301.515,8.313
201,303.030,8.114
202,304.545,8.183
203,306.061,8.377
204,307.576,8.432
205,309.091,8.293
206,310.606,8.167
207,312.121,8.277
208,313.636,7.907
209,315.152,8.211
210,316.667,8.411
211,318.182,8.379
212,319.697,8.084
213,321.212,7.996
214,322.727,8.211
215,324.242,8.107
216,325.758,8.095
217,327.273,8.393
218,328.788,8.000
219,330.303,8.116
220,331.818,8.025
221,333.333,8.064
222,334.848,8.108
223,336.364,7.932
224,337.879,7.802
225,339.394,7.652
226,340.909,7.600
227,342.424,7.894
228,343.939,7.726
229,345.455,7.509
230,346.970,7.730
231,348.485,7.912
232,350.000,7.973
233,351.515,7.708
234,353.030,7.991
235,354.545,7.962
236,356.061,7.943
237,357.576,7.880
238,359.091,7.939
239,360.606,7.812
240,362.121,7.852
241,363.636,8.082
242,365.152,7.805
243,366.667,7.559
244,368.182,7.499
245,369.697,7.331
246,371.212,7.483
247,372.727,7.193
248,374.242,7.345
249,375.758,7.088
250,377.273,7.706
251,378.788,7.949
252,380.303,7.544
253,381.818,7.231
254,383.333,7.416
255,384.848,7.313
256,386.364,7.510
257,387.879,7.483
258,389.394,7.536
259,390.909,7.429
260,392.424,7.408
261,393.939,7.596
262,395.455,7.600
263,396.970,7.550
264,398.485,7.995
265,400.000,7.799
266,401.515,7.949
267,403.030,7.779
268,404.545,7.673
269,406.061,7.758
270,407.576,7.527
271,409.091,7.331
272,410.606,7.362
273,412.121,7.247
274,413.636,7.372
275,415.152,7.406
276,416.667,7.624
277,418.182,7.483
278,419.697,7.416
279,421.212,7.323
280,422.727,7.510
281,424.242,7.396
282,425.758,7.261
283,427.273,7.323
284,428.788,7.422
285,430.303,7.384
286,431.818,7.239
287,433.333,7.283
288,434.848,7.129
289,436.364,6.990
290,437.879,7.037
291,439.394,7.218
292,440.909,7.334
293,442.424,6.968
294,443.939,7.041
295,445.455,6.940
296,446.970,6.988
297,448.485,7.053
298,450.000,6.746
299,451.515,6.991
300,453.030,6.936
301,454.545,7.049
302,456.061,7.052
303,457.576,6.893
304,459.091,6.972
305,460.606,7.047
306,462.121,6.843
307,463.636,6.839
308,465.152,6.814
309,466.667,6.729
310,468.182,6.892
311,469.697,7.151
312,471.212,7.395
313,472.727,7.392
314,474.242,6.926
315,475.758,7.064
316,477.273,7.172
317,478.788,7.479
318,480.303,7.174
319,481.818,7.479
320,483.333,7.416
321,484.848,7.286
322,486.364,7.357
323,487.879,7.450
324,489.394,7.486
325,490.909,7.730
326,492.424,7.297
327,493.939,7.608
328,495.455,7.630
329,496.970,7.343
330,498.485,7.360
331,500.000,7.409
332,501.515,7.452
333,503.030,7.846
334,504.545,7.444
335,506.061,7.428
336,507.576,7.479
337,509.091,8.199
338,510.606,8.414
339,512.121,7.908
340,513.636,7.758
341,515.151,7.897
342,516.667,8.078
343,518.182,8.918
344,519.697,11.614
345,521.212,10.873
346,522.727,8.175
347,524.242,8.175
348,525.758,8.366
349,527.273,10.946
350,528.788,11.850
351,530.303,8.231
352,531.818,8.251
353,533.333,8.926
354,534.849,8.727
355,536.364,8.773
356,537.879,8.421
357,539.394,8.526
358,540.909,8.891
359,542.424,8.162
360,543.939,9.204
361,545.455,8.936
362,546.970,9.493
363,548.485,9.885
364,550.000,9.501
365,551.515,8.600
366,553.030,10.253
367,554.545,9.265
368,556.061,8.813
369,557.576,9.518
370,559.091,9.965
371,560.606,8.463
372,562.121,8.138
373,563.636,8.415
374,565.151,8.348
375,566.667,8.698
376,568.182,8.884
377,569.697,8.460
378,571.212,8.713
379,572.727,9.743
380,574.242,10.518
381,575.758,18.325
382,577.273,13.773
383,578.788,9.500
384,580.303,8.809
385,581.818,9.458
386,583.333,8.786
387,584.849,9.147
