 ,Position,Intensity
1,0.000,8.240
2,1.515,7.825
3,3.030,7.386
4,4.545,8.173
5,6.061,8.205
6,7.576,7.393
7,9.091,7.658
8,10.606,7.602
9,12.121,7.045
10,13.636,7.318
11,15.152,7.864
12,16.667,7.030
13,18.182,7.302
14,19.697,7.335
15,21.212,7.118
16,22.727,7.224
17,24.242,7.003
18,25.758,7.109
19,27.273,7.119
20,28.788,7.201
21,30.303,7.039
22,31.818,7.217
23,33.333,7.251
24,34.848,7.033
25,36.364,7.035
26,37.879,6.921
27,39.394,7.065
28,40.909,6.930
29,42.424,7.169
30,43.939,7.211
31,45.455,6.969
32,46.970,7.147
33,48.485,7.084
34,50.000,6.921
35,51.515,7.237
36,53.030,6.900
37,54.545,7.327
38,56.061,7.753
39,57.576,7.094
40,59.091,7.176
41,60.606,7.235
42,62.121,7.245
43,63.636,7.078
44,65.152,7.022
45,66.667,7.276
46,68.182,7.180
47,69.697,7.107
48,71.212,7.206
49,72.727,7.351
50,74.242,7.099
51,75.758,7.377
52,77.273,7.212
53,78.788,7.298
54,80.303,7.025
55,81.818,6.998
56,83.333,6.919
57,84.848,6.864
58,86.364,7.053
59,87.879,6.957
60,89.394,6.986
61,90.909,7.273
62,92.424,6.716
63,93.939,6.768
64,95.455,6.733
65,96.970,6.912
66,98.485,6.948
67,100.000,7.165
68,101.515,6.813
69,103.030,7.445
70,104.545,7.007
71,106.061,6.720
72,107.576,6.985
73,109.091,6.839
74,110.606,6.913
75,112.121,7.100
76,113.636,7.065
77,115.152,7.101
78,116.667,7.221
79,118.182,8.044
80,119.697,7.643
81,121.212,7.521
82,122.727,7.642
83,124.242,7.567
84,125.758,7.622
85,127.273,7.553
86,128.788,7.831
87,130.303,7.703
88,131.818,7.533
89,133.333,7.564
90,134.848,7.486
91,136.364,7.603
92,137.879,7.913
93,139.394,7.560
94,140.909,7.311
95,142.424,7.624
96,143.939,7.460
97,145.455,8.027
98,146.970,7.534
99,148.485,7.449
100,150.000,7.512
101,151.515,7.777
